TEI,TEO,TCI,TCO,Evap.Tons,kW,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,TO_sump,fault,level
62.2,52.64,85.33,94.05,85.59,77.63,10.1,3.9,42.4,37.5,98,120.1,7.9,48.8,6.2,124.5,26.7,109.6,normal,0
62.24,52.48,85.53,94.46,87.62,79.2,10.1,3.9,42.3,37.4,98.5,121.1,8.4,48.5,6.2,125.2,26.7,110.7,normal,0
62.11,52.35,85.62,94.74,88.44,80.51,10.1,4.1,42.1,37.2,98.7,121.6,7.9,48.3,6.2,125.5,26.8,112,normal,0
61.75,51.78,85.66,95.15,89.55,83.66,9.8,3.8,41.8,36.9,99,122.1,8.5,47.8,5.9,126.3,27.6,114,normal,0
61.62,51.62,85.66,95.11,89.86,83.74,9.4,4,42,37.1,99,122.1,8.7,47.5,5.5,126.3,27.3,114.5,normal,0
61.58,51.62,85.66,95.11,89.26,83.6,9.8,4,41.8,36.9,99,122.1,8.7,47.5,5.7,126.6,27.4,114.9,normal,0
61.62,51.7,85.7,95.15,89.59,83.57,10.1,4.5,41.6,36.7,99.5,123.1,8.9,47.7,6.1,126.6,27.1,115.3,normal,0
61.7,51.78,85.7,95.15,89.8,83.68,9.7,4.3,42,37.1,99.5,123.1,8.7,47.8,6,126.6,27.1,116,normal,0
61.7,51.74,85.62,95.11,89.33,83.71,9.8,4.5,41.8,36.9,99.5,123.1,9.2,47.8,5.9,126.6,26.8,116.2,normal,0
56.91,50.68,85.33,91.26,56.16,58.37,8.3,3.5,42.3,37.4,94.8,113.2,6.8,48.3,6,129.6,34.8,117.6,normal,0
56.91,50.63,85.33,91.35,56.67,58.45,8.3,3.3,42.3,37.4,94.5,113.2,6.7,48.5,6.1,129.3,34.8,117.6,normal,0
56.95,50.68,85.33,91.35,56.36,58.42,8.5,3.5,42.3,37.4,94.3,112.7,7,48.5,6.1,129.3,34.5,117.6,normal,0
56.95,50.68,85.37,91.35,56.52,58.69,8.7,3.3,42.1,37.2,94.5,113.2,7,48.3,5.9,129.3,34.8,117.8,normal,0
56.95,50.68,85.33,91.35,56.5,58.46,8.2,3.3,42.4,37.5,94.5,113.2,7,48.3,5.9,129,34.8,118.1,normal,0
56.95,50.63,85.33,91.35,56.63,58.6,8.7,3.5,42.6,37.2,94.5,113.2,6.5,48.3,6.4,129.3,34.8,118.1,normal,0
56.95,50.68,85.33,91.35,56.63,58.58,8,3.3,42.6,37.7,94.8,113.2,7,48.3,5.9,129.3,34.5,118.1,normal,0
56.95,50.68,85.33,91.3,56.81,58.63,8.2,3.3,42.4,37.5,94.5,113.2,7,48.3,5.9,129.3,34.5,117.8,normal,0
56.95,50.68,85.33,91.35,56.95,58.58,8.2,3.8,42.4,37.5,94.8,113.7,6.5,48.3,6,129.3,34.5,117.8,normal,0
53.88,50.68,85.12,88.44,28.89,42.22,7.1,2,43.5,38.7,89.9,104.7,4.1,50.1,6.5,146.5,56.6,121.2,normal,0
53.88,50.63,85.16,88.48,29.24,42.37,6.8,2,43.8,39,90.5,105.2,4.6,50,6.4,146.5,56.7,121.7,normal,0
53.92,50.68,85.16,88.44,29.14,42.27,6.8,2.3,43.8,39,90.5,105.2,4.9,50,6,146.9,56,122,normal,0
53.97,50.72,85.25,88.52,29.37,42.71,7,2,43.8,39,90.2,104.7,4.7,50,6.4,146.9,56.3,122.2,normal,0
54.09,50.8,85.21,88.48,29.54,42.64,7.2,2.3,43.6,38.8,90.2,104.7,4.4,50.1,6.5,146.9,56.7,122.7,normal,0
61.5,50.22,75.95,86.68,101.5,79.18,9.2,6.5,40.8,35.9,93,110.2,10.2,46.1,5.3,115.3,22.3,118.1,normal,0
61.34,50.06,75.83,86.64,102,78.89,9.2,6.6,40.8,35.8,92.7,109.7,10.4,45.9,5.1,115.1,22.2,117.6,normal,0
61.29,50.06,75.83,86.51,100.4,78.59,9.2,6.4,40.8,35.8,92.5,109.2,10.5,45.8,5,114.9,22.4,116.7,normal,0
61.21,49.94,75.83,86.47,101.7,78.65,9,6.2,40.8,35.8,92.5,109.2,10.4,45.8,5.2,114.9,22.4,115.7,normal,0
61.09,49.9,75.79,86.43,101.1,78.69,9,6.4,40.6,35.6,92.5,109.2,10.4,45.8,5.2,114.7,22.4,115.6,normal,0
56.95,50.68,75.46,81.4,56.26,50.27,9,4,41.6,36.7,85.2,95.8,6.3,48.3,6.7,119.7,34.5,114.5,normal,0
57,50.63,75.87,81.89,57.66,51.04,8.3,3.7,42.3,37.4,85.5,96.3,6.4,48.5,6.2,119,33.5,114.5,normal,0
56.95,50.63,75.83,81.85,56.91,50.89,8.3,3.7,42.3,37.4,85.2,95.8,6.3,48.3,5.9,119.2,34,114.5,normal,0
56.87,50.51,75.79,81.76,56.85,50.91,8.1,3.4,42.3,37.4,85.2,95.8,6.3,48.3,5.9,119,33.8,114.7,normal,0
53.15,50.43,75.26,78.08,24.28,35.33,7,1.9,43.3,38.5,79.8,86.4,3.4,50,6.5,143.2,63.4,118.8,normal,0
53.11,50.39,75.3,78.08,24.48,35.29,6.9,1.9,43.5,38.7,79.8,86.4,3.1,50,6.4,143.6,63.8,119.2,normal,0
53.11,50.39,75.3,78.08,24.4,35.27,6.8,1.6,43.6,38.8,79.5,85.9,3.6,50,6.5,144,64.1,119.7,normal,0
53.11,50.39,75.3,78.08,24.39,35.35,6.9,1.9,43.6,38.7,79.5,85.9,3.3,50.1,6.5,143.6,64.1,120.2,normal,0
53.11,50.39,75.38,78.2,24.5,35.34,6.9,1.7,43.5,38.7,80.1,86.4,3.7,50,6.5,144,63.9,120.2,normal,0
53.11,50.39,75.38,78.2,24.39,35.31,7.1,1.7,43.3,38.5,79.8,86.4,3.9,50.1,6.8,144,64.2,120.9,normal,0
53.15,50.43,75.34,78.16,24.41,35.33,6.7,1.4,43.6,38.8,79.5,85.9,3.4,50,6.4,143.6,63.8,120.7,normal,0
53.11,50.39,75.42,78.2,24.58,35.32,6.8,1.7,43.6,38.8,79.8,86.4,3.4,50.1,6.5,144,63.8,121.5,normal,0
59.08,49.98,70.71,79.23,82.18,60.58,8.6,5.2,41.5,36.6,84.3,94.3,8.1,46.8,5.6,110.5,26.4,118.3,normal,0
59,49.9,70.67,79.18,81.91,60.62,8.8,5.2,41,36.3,84,93.8,7.8,46.6,5.4,110.3,26.3,117.8,normal,0
59.12,49.98,70.71,79.23,82.04,60.65,8.7,5.4,41.3,36.4,84.3,94.3,8,46.6,5.6,110.1,26.1,116.2,normal,0
59.12,49.98,70.71,79.27,82.25,60.43,8.8,4.9,41,36.1,84,93.8,8.4,46.6,5.4,110.3,26.3,115.7,normal,0
59.25,50.1,70.79,79.27,82.49,61.18,9.3,5.4,41,36.1,84.6,94.8,8.1,46.6,5.8,110.3,25.7,114.9,normal,0
59.25,50.1,70.75,79.27,82.18,60.88,9.3,5.1,41.2,35.9,84.3,94.3,8.1,46.8,6,110.3,26,114.2,normal,0
59.29,50.1,70.83,79.35,82.65,61.49,9.2,5.2,40.8,35.9,84.3,94.3,8.3,46.6,5.6,110.5,26,114.2,normal,0
